id,source_file,mutated_method,line_number,index,description
1,CombatSystem.java,enemyTurn,133,22,Replaced integer division with multiplication
2,CombatSystem.java,enemyTurn,133,13,negated conditional
3,CombatSystem.java,enemyTurn,135,48,removed call to gamification/CombatRules::inflictDamage
4,CombatSystem.java,enemyTurn,136,58,removed call to gamification/CombatLog::log
5,CombatSystem.java,finishCombat,142,11,negated conditional
6,CombatSystem.java,finishCombat,145,31,removed call to gamification/entity/Player::gainExperience
7,CombatSystem.java,finishCombat,147,47,removed call to gamification/CombatLog::log
8,CombatSystem.java,finishCombat,150,71,removed call to gamification/CombatLog::log
9,CombatSystem.java,finishCombat,152,77,removed call to gamification/CombatLog::printLog
10,CombatSystem.java,getCombatLog,156,5,replaced return value with null for gamification/CombatSystem::getCombatLog
11,CombatSystem.java,performAttack,77,18,removed call to gamification/CombatRules::inflictDamage
12,CombatSystem.java,performAttack,78,28,removed call to gamification/CombatLog::log
13,CombatSystem.java,performDefend,126,14,removed call to gamification/CombatLog::log
14,CombatSystem.java,performSpell,84,11,negated conditional
15,CombatSystem.java,performSpell,86,24,negated conditional
16,CombatSystem.java,performSpell,90,47,negated conditional
17,CombatSystem.java,performSpell,98,78,negated conditional
18,CombatSystem.java,performSpell,100,93,negated conditional
19,CombatSystem.java,performSpell,106,172,negated conditional
20,CombatSystem.java,performSpell,113,228,negated conditional
21,CombatSystem.java,performSpell,113,232,negated conditional
22,CombatSystem.java,performSpell,114,241,removed call to gamification/CombatLog::log
23,CombatSystem.java,performSpell,115,249,removed call to gamification/CombatRules::heal
24,CombatSystem.java,performSpell,117,261,removed call to gamification/CombatLog::log
25,CombatSystem.java,performSpell,118,269,removed call to gamification/CombatRules::inflictDamage
26,CombatSystem.java,performSpell,119,276,removed call to gamification/CombatLog::log
27,CombatSystem.java,playerTurn,61,47,removed call to gamification/CombatSystem::performAttack
28,CombatSystem.java,playerTurn,64,56,removed call to gamification/CombatSystem::performSpell
29,CombatSystem.java,playerTurn,67,64,removed call to gamification/CombatSystem::performDefend
30,CombatSystem.java,playerTurn,71,77,removed call to gamification/CombatSystem::performAttack
31,CombatSystem.java,startCombat,35,37,negated conditional
32,CombatSystem.java,startCombat,35,41,negated conditional
33,CombatSystem.java,startCombat,36,46,negated conditional
34,CombatSystem.java,startCombat,41,64,negated conditional
35,CombatSystem.java,startCombat,29,6,removed call to gamification/CombatLog::log
36,CombatSystem.java,startCombat,30,18,removed call to gamification/CombatLog::log
37,CombatSystem.java,startCombat,31,23,removed call to gamification/CombatLog::printLog
38,CombatSystem.java,startCombat,37,51,removed call to gamification/CombatSystem::playerTurn
39,CombatSystem.java,startCombat,39,57,removed call to gamification/CombatSystem::enemyTurn
40,CombatSystem.java,startCombat,46,89,removed call to gamification/CombatSystem::finishCombat
41,TradingSystem.java,buy,79,15,changed conditional boundary
42,TradingSystem.java,buy,78,8,Replaced double division with multiplication
43,TradingSystem.java,buy,79,15,negated conditional
44,TradingSystem.java,buy,82,27,removed call to gamification/entity/Player::addEquipment
45,TradingSystem.java,sellArmor,51,9,Replaced double multiplication with division
46,TradingSystem.java,sellArmor,52,22,removed call to gamification/entity/Player::setArmor
47,TradingSystem.java,sellArmor,53,27,removed call to gamification/TradingSystem::updateReputation
48,TradingSystem.java,sellArmor,54,31,replaced int return with 0 for gamification/TradingSystem::sellArmor
49,TradingSystem.java,sellItem,37,20,Replaced double multiplication with division
50,TradingSystem.java,sellItem,35,6,negated conditional
51,TradingSystem.java,sellItem,38,27,removed call to gamification/TradingSystem::updateReputation
52,TradingSystem.java,sellItem,39,31,replaced int return with 0 for gamification/TradingSystem::sellItem
