ID,Start time,Completion time,En quelle année d'étude êtes vous ?,Quels outils gamifiés avez vous déjà utilisé ?,Comment évaluez-vous votre connaissance de Java?,Comment évaluez-vous votre compétence en tests logiciels ?,Comment évaluez-vous votre motivation à écrire des tests logiciels ?
1,4/14/26 16:56:16,4/14/26 17:00:28,Master 1,Kahoot;Duolinguo;Wooclap;,Intermédiaire,Intermédiaire,3
2,4/14/26 17:04:21,4/14/26 17:05:09,Master 1,Kahoot;Duolinguo;Github Achievements;,Avancé(e),Avancé(e),3
3,4/15/26 15:05:44,4/15/26 15:06:19,Master 1,Kahoot;Duolinguo;Github Achievements;,Intermédiaire,Avancé(e),4
4,4/15/26 15:08:26,4/15/26 15:09:12,Master 1,Kahoot;Duolinguo;,Intermédiaire,Novice,1
5,4/15/26 15:19:16,4/15/26 15:20:25,Master 1,Duolinguo;Kahoot;,Intermédiaire,Novice,3
6,4/15/26 15:27:06,4/15/26 15:28:18,Master 1,Kahoot;Duolinguo;,Avancé(e),Intermédiaire,3
7,4/15/26 20:50:07,4/15/26 20:51:35,Master 1,Github Achievements;,Intermédiaire,Novice,2
8,4/15/26 23:45:33,4/15/26 23:46:59,UES (passerelle),Github Achievements;Duolinguo;,Avancé(e),Avancé(e),3
9,4/16/26 0:24:22,4/16/26 0:25:33,Master 1,Duolinguo;,Intermédiaire,Novice,4
10,4/16/26 1:02:48,4/16/26 1:05:25,Master 1,Duolinguo;,Avancé(e),Intermédiaire,3
11,4/16/26 7:06:18,4/16/26 7:07:01,Master 1,Kahoot;Duolinguo;,Avancé(e),Avancé(e),3
12,4/16/26 10:45:49,4/16/26 10:47:15,Master 1,Duolinguo;Kahoot;,Avancé(e),Avancé(e),2
13,4/16/26 10:46:26,4/16/26 10:47:26,Master 1,Kahoot;wooclap;,Intermédiaire,Intermédiaire,4
14,4/16/26 11:00:59,4/16/26 11:01:40,Master 1,Kahoot;Duolinguo;,Intermédiaire,Intermédiaire,3
