Formulaire,Titre,Type,Label_1,Label_2,Label_3,Label_4,Label_5
demographic,"Comment évaluez-vous votre connaissance de Java?",SCALE,Aucune,Novice,Intermédiaire,Avancé(e),Expert(e)
demographic,"Comment évaluez-vous votre compétence en tests logiciels ?",SCALE,Aucune,Novice,Intermédiaire,Avancé(e),Expert(e)
demographic,"Comment évaluez-vous votre motivation à écrire des tests logiciels ?",SCALE,Faible,Plutôt faible,Moyenne,Plutôt élevée,Élevée
sus,"Je voudrais utiliser ce système fréquemment.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
sus,"Ce système est inutilement complexe.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
sus,"Ce système est facile à utiliser.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
sus,"J'aurais besoin du soutien d'un technicien pour être capable d'utiliser ce système.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
sus,"Les différentes fonctionnalités de ce système sont bien intégrées.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
sus,"Il y a trop d'incohérences dans ce système.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
sus,"La plupart des gens apprendront à utiliser ce système très rapidement.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
sus,"Ce système est très lourd à utiliser.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
sus,"Je me suis senti·e très confiant·e en utilisant ce système.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
sus,"J'ai eu besoin d'apprendre beaucoup de choses avant de pouvoir utiliser ce système.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
common,"Ennui",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
common,"Stimulation",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
common,"Frustration",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
common,"Accomplissement",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
common,"Fatigue",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
common,"J'ai été distrait par le mode de jeu pendant que j'écrivais mes tests.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
common,"J'étais plus motivé à écrire des tests avec le mode de jeu que d'habitude.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
common,"Le système de mode de jeu m'incite à écrire plus de tests.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
common,"Mon engouement pour un système gamifié avec uniquement un mode de jeu diminuerait au file du temps (plusieurs semaines/mois/années) (sentiment de lassitude).",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
common,"Les succès donnaient des objectifs clairs.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
common,"Le feedback des succès était suffisant pour connaitre mon avancement.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
team,"Avoir des succès d'équipe vous a.",SCALE,"Frustré","Un peu frustré","Neutre","Un peu amusé","Amusé"
team,"Dépendre des autres pour débloquer les succès vous a.",SCALE,"Frustré","Un peu frustré","Neutre","Un peu amusé","Amusé"
team,"Savoir que vous deviez débloquer un palier pour permettre à vos coéquipiers d'accéder à des succès vous a.",SCALE,"Stressé","Un peu stressé","Neutre","Un peu amusé","Amusé"
team,"Il y avait une ambiance de compétition dans l'équipe.",SCALE,"Pas du tout d'accord","Relativement pas d'accord","Moyennement d'accord","Assez d'accord","Tout à fait d'accord"
