Action,Name,GameMode,Timestamp
joinTeam,Les humiliateurs de Jérôme,TEAM,2026-04-16 11:41:04.149
Add1TestAchievement,Add1TestAchievement,TEAM,2026-04-16 11:45:23.754
Add20TestsAchievement,Add20TestsAchievement,TEAM,2026-04-16 11:45:23.764
Add10TestsAchievement,Add10TestsAchievement,TEAM,2026-04-16 11:45:23.775
joinTeam,Les humiliateurs de Jérôme,TEAM,2026-04-16 11:53:17.453
joinTeam,Les humilateurs de Jérôme,TEAM,2026-04-16 11:55:31.502
leaveTeam,Les humilateurs de Jérôme,TEAM,2026-04-16 12:07:04.202
joinTeam,Les humiliateurs de Jérôme,TEAM,2026-04-16 12:07:28.333
Kill1MutantAchievement,Kill1MutantAchievement,TEAM,2026-04-16 12:22:57.566
Kill5MutantsAchievement,Kill5MutantsAchievement,TEAM,2026-04-16 12:22:57.58
Kill10MutantsAchievement,Kill10MutantsAchievement,TEAM,2026-04-16 12:22:57.595
Kill25MutantsAchievement,Kill25MutantsAchievement,TEAM,2026-04-16 12:22:57.611
Kill66MutantsAchievement,Kill66MutantsAchievement,TEAM,2026-04-16 12:22:57.626
leaveTeam,Les humiliateurs de Jérôme,TEAM,2026-04-16 12:25:19.74
joinTeam,Les humiliateurs de Jérôme,TEAM,2026-04-16 12:25:54.588
Kill75MutantsAchievement,Kill75MutantsAchievement,TEAM,2026-04-16 12:27:25.532
CleanDragonAchievement,CleanDragonAchievement,TEAM,2026-04-16 12:27:25.656
