Action,Name,GameMode,Timestamp
joinTeam,TEH,TEAM,2026-04-16 11:14:44.065
Add1TestAchievement,Add1TestAchievement,TEAM,2026-04-16 11:23:04.174
joinTeam,TEH,TEAM,2026-04-16 11:40:37.847
Cover10LinesAchievement,Cover10LinesAchievement,SOLO,2026-04-16 11:41:00.218
Cover10LinesAchievement,Cover10LinesAchievement,SOLO,2026-04-16 11:41:00.282
Cover10LinesAchievement,Cover10LinesAchievement,SOLO,2026-04-16 11:43:04.06
Cover33LinesAchievement,Cover33LinesAchievement,SOLO,2026-04-16 11:43:39.687
Cover10LinesAchievement,Cover10LinesAchievement,SOLO,2026-04-16 11:43:39.799
Cover10LinesAchievement,Cover10LinesAchievement,SOLO,2026-04-16 11:45:13.559
Add10TestsAchievement,Add10TestsAchievement,SOLO,2026-04-16 11:46:23.894
Cover10LinesAchievement,Cover10LinesAchievement,SOLO,2026-04-16 11:48:25.837
Cover10LinesAchievement,Cover10LinesAchievement,SOLO,2026-04-16 11:49:57.332
joinTeam,TEH,TEAM,2026-04-16 11:55:47.694
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 11:56:19.603
Cover33LinesAchievement,Cover33LinesAchievement,TEAM,2026-04-16 11:56:19.603
joinTeam,TEH,TEAM,2026-04-16 11:56:44.094
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 11:58:11.204
Cover33LinesAchievement,Cover33LinesAchievement,TEAM,2026-04-16 11:58:11.205
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 11:58:14.255
Cover33LinesAchievement,Cover33LinesAchievement,TEAM,2026-04-16 11:58:14.255
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 11:58:17.876
Cover33LinesAchievement,Cover33LinesAchievement,TEAM,2026-04-16 11:58:17.876
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 11:58:21.339
Cover33LinesAchievement,Cover33LinesAchievement,TEAM,2026-04-16 11:58:21.339
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 11:58:24.363
Cover33LinesAchievement,Cover33LinesAchievement,TEAM,2026-04-16 11:58:24.363
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 12:01:28.9
Cover33LinesAchievement,Cover33LinesAchievement,TEAM,2026-04-16 12:01:28.901
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 12:03:56.45
Cover33LinesAchievement,Cover33LinesAchievement,TEAM,2026-04-16 12:03:56.45
joinTeam,TEH,TEAM,2026-04-16 12:14:33.287
Kill1MutantAchievement,Kill1MutantAchievement,TEAM,2026-04-16 12:20:34.379
Kill5MutantsAchievement,Kill5MutantsAchievement,TEAM,2026-04-16 12:20:34.388
Kill10MutantsAchievement,Kill10MutantsAchievement,TEAM,2026-04-16 12:20:34.397
Kill25MutantsAchievement,Kill25MutantsAchievement,TEAM,2026-04-16 12:20:34.404
CleanDragonAchievement,CleanDragonAchievement,TEAM,2026-04-16 12:20:38.977
CleanDragonAchievement,CleanDragonAchievement,TEAM,2026-04-16 12:20:40.312
CleanDragonAchievement,CleanDragonAchievement,TEAM,2026-04-16 12:20:48.974
