Action,Name,GameMode,Timestamp
Add1TestAchievement,Add1TestAchievement,SOLO,2026-04-16 11:36:02.011
Add10TestsAchievement,Add10TestsAchievement,SOLO,2026-04-16 11:50:43.997
Cover10LinesAchievement,Cover10LinesAchievement,SOLO,2026-04-16 12:06:04.966
Cover10LinesAchievement,Cover10LinesAchievement,SOLO,2026-04-16 12:06:05.206
Cover33LinesAchievement,Cover33LinesAchievement,SOLO,2026-04-16 12:09:06.21
Cover10LinesAchievement,Cover10LinesAchievement,SOLO,2026-04-16 12:09:06.294
Cover33LinesAchievement,Cover33LinesAchievement,SOLO,2026-04-16 12:09:06.295
Add20TestsAchievement,Add20TestsAchievement,SOLO,2026-04-16 12:12:26.908
Cover10LinesAchievement,Cover10LinesAchievement,SOLO,2026-04-16 12:14:39.775
Cover33LinesAchievement,Cover33LinesAchievement,SOLO,2026-04-16 12:14:39.777
