user,game_mode,instruction_missed,instruction_covered,branch_missed,branch_covered,line_missed,line_covered,complexity_missed,complexity_covered,method_missed,method_covered,instruction,branch,line,method
0947a22a-ec40-4f49-867b-330a623a1a35,TEAM,3077,0,157,0,684,0,277,0,187,0,0.0,0.0,0.0,0.0
0d271530-be17-4538-bf04-dde3c6069b5f,SOLO,2817,260,143,14,630,54,249,28,167,20,0.08449788755281118,0.08917197452229299,0.07894736842105263,0.10695187165775401
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,SOLO,3005,72,157,0,666,18,269,8,179,8,0.023399415014624635,0.0,0.02631578947368421,0.0427807486631016
70e85b5e-92d4-498a-9079-ba881f5b3b82,TEAM,3077,0,157,0,684,0,277,0,187,0,0.0,0.0,0.0,0.0
7234f6dc-a316-4576-8453-6e10d7cf1c3d,SOLO,3077,0,157,0,684,0,277,0,187,0,0.0,0.0,0.0,0.0
84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,SOLO,3077,0,157,0,684,0,277,0,187,0,0.0,0.0,0.0,0.0
bcec21aa-2246-4ee8-9f2a-3998a5cde697,TEAM,2927,150,149,8,645,39,259,18,172,15,0.04874878128046799,0.050955414012738856,0.05701754385964912,0.08021390374331551
c27240eb-52c0-4436-aa0f-e7f97a94a725,TEAM,3077,0,157,0,684,0,277,0,187,0,0.0,0.0,0.0,0.0
c27240eb-52c0-4436-aa0f-e7f97a94a725,SOLO,3077,0,157,0,684,0,277,0,187,0,0.0,0.0,0.0,0.0
eda1acdb-c4bb-4425-a39f-4c25a998e739,SOLO,3077,0,157,0,684,0,277,0,187,0,0.0,0.0,0.0,0.0
fb270a09-6a45-4eae-8f9a-3c808faec3ee,TEAM,3077,0,157,0,684,0,277,0,187,0,0.0,0.0,0.0,0.0
