id,user,total_class_count,covered_class_count,total_method_count,covered_method_count,total_line_count,covered_line_count,total_branch_count,covered_branch_count,tested_class,test_name,game_mode,created_at
4,0d271530-be17-4538-bf04-dde3c6069b5f,1,1,6,6,9,9,4,2,be.dzenali.gamification.item.Equipment,EquipmentTest,SOLO,2026-04-16 09:22:46.305
5,0d271530-be17-4538-bf04-dde3c6069b5f,2,2,7,7,18,18,8,8,be.dzenali.gamification.item.Armor,ArmorTest,SOLO,2026-04-16 09:39:04.082
6,fb270a09-6a45-4eae-8f9a-3c808faec3ee,1,0,12,0,20,0,2,0,be.dzenali.gamification.entity.Monster,MonsterTest,TEAM,2026-04-16 09:40:15.081
7,0d271530-be17-4538-bf04-dde3c6069b5f,1,1,6,6,9,9,4,4,be.dzenali.gamification.item.Equipment,EquipmentTest,SOLO,2026-04-16 09:40:21.947
8,70e85b5e-92d4-498a-9079-ba881f5b3b82,1,1,12,8,20,15,2,0,be.dzenali.gamification.entity.Monster,MonsterTest,TEAM,2026-04-16 09:40:26.805
9,0d271530-be17-4538-bf04-dde3c6069b5f,2,2,7,7,18,18,8,8,be.dzenali.gamification.item.Armor,ArmorTest,SOLO,2026-04-16 09:40:28.968
10,c27240eb-52c0-4436-aa0f-e7f97a94a725,1,1,1,1,1,1,0,0,be.dzenali.gamification.entity.monster.Goblin,GoblinTest,SOLO,2026-04-16 09:40:47.599
11,0d271530-be17-4538-bf04-dde3c6069b5f,1,1,6,6,9,9,4,4,be.dzenali.gamification.item.Equipment,EquipmentTest,SOLO,2026-04-16 09:40:47.659
12,c27240eb-52c0-4436-aa0f-e7f97a94a725,1,1,5,5,6,6,4,4,be.dzenali.gamification.entity.monster.Ork,OrkTest,SOLO,2026-04-16 09:40:51.425
13,c27240eb-52c0-4436-aa0f-e7f97a94a725,1,1,12,3,20,10,2,0,be.dzenali.gamification.entity.Monster,MonsterTest,SOLO,2026-04-16 09:41:00.270
14,0d271530-be17-4538-bf04-dde3c6069b5f,2,2,7,7,18,18,8,8,be.dzenali.gamification.item.Armor,ArmorTest,SOLO,2026-04-16 09:41:14.642
15,84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,1,1,5,3,20,11,10,6,be.dzenali.gamification.data.HealthPoints,HealthPointsTest,SOLO,2026-04-16 09:41:50.110
16,c27240eb-52c0-4436-aa0f-e7f97a94a725,1,1,12,7,20,14,2,0,be.dzenali.gamification.entity.Monster,MonsterTest,SOLO,2026-04-16 09:43:04.031
17,c27240eb-52c0-4436-aa0f-e7f97a94a725,1,1,12,7,20,14,2,0,be.dzenali.gamification.entity.Monster,MonsterTest,SOLO,2026-04-16 09:43:39.767
18,c27240eb-52c0-4436-aa0f-e7f97a94a725,1,1,12,8,20,15,2,1,be.dzenali.gamification.entity.Monster,MonsterTest,SOLO,2026-04-16 09:45:13.530
19,c27240eb-52c0-4436-aa0f-e7f97a94a725,1,1,12,10,20,17,2,2,be.dzenali.gamification.entity.Monster,MonsterTest,SOLO,2026-04-16 09:48:25.769
20,c27240eb-52c0-4436-aa0f-e7f97a94a725,1,1,12,12,20,20,2,2,be.dzenali.gamification.entity.Monster,MonsterTest,SOLO,2026-04-16 09:49:57.279
