user,created_at,last_update,game_mode
11555248-3f01-4d1c-9a71-ef7caf9150fa,2026-04-16 11:12:53.421000+02:00,2026-04-16 11:12:53.421000+02:00,SOLO
70e85b5e-92d4-498a-9079-ba881f5b3b82,2026-04-16 11:12:53.422000+02:00,2026-04-16 11:12:53.422000+02:00,TEAM
c27240eb-52c0-4436-aa0f-e7f97a94a725,2026-04-16 11:12:56.532000+02:00,2026-04-16 11:12:56.532000+02:00,TEAM
0d271530-be17-4538-bf04-dde3c6069b5f,2026-04-16 11:12:58.644000+02:00,2026-04-16 11:12:58.644000+02:00,SOLO
7234f6dc-a316-4576-8453-6e10d7cf1c3d,2026-04-16 11:13:05.993000+02:00,2026-04-16 11:13:05.993000+02:00,SOLO
84c2c4e6-1c27-4f2c-808b-9e84a7cb257e,2026-04-16 11:13:06.492000+02:00,2026-04-16 11:13:06.492000+02:00,SOLO
bcec21aa-2246-4ee8-9f2a-3998a5cde697,2026-04-16 11:13:55.230000+02:00,2026-04-16 11:13:55.230000+02:00,TEAM
960ad9f8-2b83-4526-9cfb-1a59cec049a6,2026-04-16 11:16:16.341000+02:00,2026-04-16 11:16:16.341000+02:00,SOLO
eda1acdb-c4bb-4425-a39f-4c25a998e739,2026-04-16 11:27:08.840000+02:00,2026-04-16 11:27:08.840000+02:00,SOLO
c44fb8ae-6e48-4f56-b5ea-1727c487a5e7,2026-04-16 11:33:43.936000+02:00,2026-04-16 11:33:43.936000+02:00,
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,2026-04-16 11:44:52.789000+02:00,2026-04-16 11:44:52.789000+02:00,SOLO
0947a22a-ec40-4f49-867b-330a623a1a35,2026-04-16 11:40:38.106000+02:00,2026-04-16 11:45:54.403000+02:00,TEAM
fb270a09-6a45-4eae-8f9a-3c808faec3ee,2026-04-16 11:13:31.320000+02:00,2026-04-16 12:25:23.436000+02:00,TEAM
