GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test-gamification,be.dzenali.gamification.builders,ArmorBuilder,31,0,0,0,9,0,4,0,4,0
test-gamification,be.dzenali.gamification.builders,PlayerBuilder,135,0,0,0,28,0,8,0,8,0
test-gamification,be.dzenali.gamification.builders,WeaponBuilder,31,0,0,0,9,0,4,0,4,0
test-gamification,be.dzenali.gamification.builders,EquipmentBuilder,27,0,0,0,9,0,4,0,4,0
test-gamification,be.dzenali.gamification.builders,MonsterBuilder,135,0,0,0,30,0,9,0,9,0
test-gamification,be.dzenali.gamification.item.consumables,HealthPotion,25,8,0,0,3,3,2,1,2,1
test-gamification,be.dzenali.gamification.entity.monster,Goblin,0,18,0,0,0,2,0,1,0,1
test-gamification,be.dzenali.gamification.entity.monster,Ork,0,55,0,6,0,7,0,8,0,5
test-gamification,be.dzenali.gamification.entity.monster,Dragon,0,57,0,6,0,5,0,7,0,4
test-gamification,be.dzenali.gamification.item.weapon,DualDagger,0,7,0,0,0,2,0,1,0,1
test-gamification,be.dzenali.gamification.item.weapon,Espadon,0,7,0,0,0,2,0,1,0,1
test-gamification,be.dzenali.gamification.item.weapon,Toothpick,0,7,0,0,0,2,0,1,0,1
test-gamification,be.dzenali.gamification.entity,Monster,27,83,0,2,3,18,2,11,2,10
test-gamification,be.dzenali.gamification.entity,Player,100,145,6,4,16,33,11,17,7,16
test-gamification,be.dzenali.gamification.data,StatBlock,0,120,0,8,0,19,0,9,0,5
test-gamification,be.dzenali.gamification.data,StatType,0,39,0,0,0,7,0,1,0,1
test-gamification,be.dzenali.gamification.data,HealthPoints,0,83,0,10,0,21,0,10,0,5
test-gamification,be.dzenali.gamification.data,WeaponType,0,45,0,0,0,8,0,1,0,1
test-gamification,be.dzenali.gamification.data,Coords,0,72,0,0,0,18,0,8,0,8
test-gamification,be.dzenali.gamification.data,Aggressivity,0,35,0,0,0,8,0,3,0,3
test-gamification,be.dzenali.gamification.data,Status,21,0,0,0,4,0,1,0,1,0
test-gamification,be.dzenali.gamification.data,ArmorType,0,21,0,0,0,4,0,1,0,1
test-gamification,be.dzenali.gamification,TradingSystem,229,0,10,0,47,0,13,0,8,0
test-gamification,be.dzenali.gamification,CombatSystem,443,0,39,0,100,0,31,0,9,0
test-gamification,be.dzenali.gamification,RPGGame,374,0,17,0,117,0,22,0,10,0
test-gamification,be.dzenali.gamification,CombatLog,59,0,2,0,17,0,6,0,5,0
test-gamification,be.dzenali.gamification,CombatRules,3,151,3,8,1,30,3,18,0,13
test-gamification,be.dzenali.gamification.entity.archetype,Warrior,9,72,2,2,2,12,2,4,0,4
test-gamification,be.dzenali.gamification.entity.archetype,Rogue,14,54,4,2,5,8,3,4,0,4
test-gamification,be.dzenali.gamification.entity.archetype,Mage,30,58,7,3,8,12,5,5,0,4
test-gamification,be.dzenali.gamification.item,Item,23,9,0,0,3,4,3,1,3,1
test-gamification,be.dzenali.gamification.item,Weapon,34,22,2,0,4,8,4,3,3,3
test-gamification,be.dzenali.gamification.item,Armor,63,35,7,3,8,11,8,5,2,4
test-gamification,be.dzenali.gamification.item,Equipment,16,24,3,1,3,8,5,3,3,3
test-gamification,be.dzenali.gamification.item.armor,Gabison,0,7,0,0,0,2,0,1,0,1
test-gamification,be.dzenali.gamification.item.armor,ChainVest,0,7,0,0,0,2,0,1,0,1
test-gamification,be.dzenali.gamification.item.armor,Pajama,0,7,0,0,0,2,0,1,0,1
