GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test-gamification,be.dzenali.gamification.builders,ArmorBuilder,31,0,0,0,9,0,4,0,4,0
test-gamification,be.dzenali.gamification.builders,PlayerBuilder,135,0,0,0,28,0,8,0,8,0
test-gamification,be.dzenali.gamification.builders,WeaponBuilder,31,0,0,0,9,0,4,0,4,0
test-gamification,be.dzenali.gamification.builders,EquipmentBuilder,27,0,0,0,9,0,4,0,4,0
test-gamification,be.dzenali.gamification.builders,MonsterBuilder,135,0,0,0,30,0,9,0,9,0
test-gamification,be.dzenali.gamification.item.consumables,HealthPotion,33,0,0,0,6,0,3,0,3,0
test-gamification,be.dzenali.gamification.entity.monster,Goblin,18,0,0,0,2,0,1,0,1,0
test-gamification,be.dzenali.gamification.entity.monster,Ork,55,0,6,0,7,0,8,0,5,0
test-gamification,be.dzenali.gamification.entity.monster,Dragon,39,18,6,0,3,2,6,1,3,1
test-gamification,be.dzenali.gamification.item.weapon,DualDagger,7,0,0,0,2,0,1,0,1,0
test-gamification,be.dzenali.gamification.item.weapon,Espadon,7,0,0,0,2,0,1,0,1,0
test-gamification,be.dzenali.gamification.item.weapon,Toothpick,0,7,0,0,0,2,0,1,0,1
test-gamification,be.dzenali.gamification.entity,Monster,74,36,2,0,12,9,12,1,11,1
test-gamification,be.dzenali.gamification.entity,Player,181,64,8,2,34,15,26,2,21,2
test-gamification,be.dzenali.gamification.data,StatBlock,40,80,5,3,5,14,5,4,2,3
test-gamification,be.dzenali.gamification.data,StatType,0,39,0,0,0,7,0,1,0,1
test-gamification,be.dzenali.gamification.data,HealthPoints,67,16,7,3,14,7,9,1,4,1
test-gamification,be.dzenali.gamification.data,WeaponType,0,45,0,0,0,8,0,1,0,1
test-gamification,be.dzenali.gamification.data,Coords,0,72,0,0,0,18,0,8,0,8
test-gamification,be.dzenali.gamification.data,Aggressivity,3,32,0,0,1,7,1,2,1,2
test-gamification,be.dzenali.gamification.data,Status,21,0,0,0,4,0,1,0,1,0
test-gamification,be.dzenali.gamification.data,ArmorType,0,21,0,0,0,4,0,1,0,1
test-gamification,be.dzenali.gamification,TradingSystem,229,0,10,0,47,0,13,0,8,0
test-gamification,be.dzenali.gamification,CombatSystem,443,0,39,0,100,0,31,0,9,0
test-gamification,be.dzenali.gamification,RPGGame,374,0,17,0,117,0,22,0,10,0
test-gamification,be.dzenali.gamification,CombatLog,59,0,2,0,17,0,6,0,5,0
test-gamification,be.dzenali.gamification,CombatRules,154,0,11,0,31,0,21,0,13,0
test-gamification,be.dzenali.gamification.entity.archetype,Warrior,81,0,4,0,14,0,6,0,4,0
test-gamification,be.dzenali.gamification.entity.archetype,Rogue,68,0,6,0,13,0,7,0,4,0
test-gamification,be.dzenali.gamification.entity.archetype,Mage,0,88,0,10,0,20,0,10,0,4
test-gamification,be.dzenali.gamification.item,Item,32,0,0,0,7,0,4,0,4,0
test-gamification,be.dzenali.gamification.item,Weapon,45,11,2,0,8,4,6,1,5,1
test-gamification,be.dzenali.gamification.item,Armor,87,11,10,0,15,4,12,1,5,1
test-gamification,be.dzenali.gamification.item,Equipment,28,12,4,0,6,5,7,1,5,1
test-gamification,be.dzenali.gamification.item.armor,Gabison,7,0,0,0,2,0,1,0,1,0
test-gamification,be.dzenali.gamification.item.armor,ChainVest,7,0,0,0,2,0,1,0,1,0
test-gamification,be.dzenali.gamification.item.armor,Pajama,0,7,0,0,0,2,0,1,0,1
