Action,Name,GameMode,Timestamp
joinTeam,TEH,TEAM,2026-04-16 11:14:58.884
Add1TestAchievement,Add1TestAchievement,TEAM,2026-04-16 11:22:16.268
joinTeam,TEH,TEAM,2026-04-16 11:47:09.131
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 11:55:06.549
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 11:55:06.676
Cover33LinesAchievement,Cover33LinesAchievement,TEAM,2026-04-16 11:56:03.307
joinTeam,TEH,TEAM,2026-04-16 11:56:49.364
Add10TestsAchievement,Add10TestsAchievement,TEAM,2026-04-16 12:01:24.127
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 12:02:12.15
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 12:10:48.736
joinTeam,TEH,TEAM,2026-04-16 12:11:00.633
Kill1MutantAchievement,Kill1MutantAchievement,TEAM,2026-04-16 12:20:57.274
Kill5MutantsAchievement,Kill5MutantsAchievement,TEAM,2026-04-16 12:20:57.294
Kill10MutantsAchievement,Kill10MutantsAchievement,TEAM,2026-04-16 12:20:57.307
leaveTeam,TEH,TEAM,2026-04-16 12:25:27.24
joinTeam,TEH,TEAM,2026-04-16 12:25:31.351
Cover10LinesAchievement,Cover10LinesAchievement,TEAM,2026-04-16 12:26:53.404
